PokedexNumber,Name,PrimaryType,SecondaryType,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,HighestStat,HighestStatValue,EvolutionStage,Color,Height,Weight,DexEntry,Generation
22,Fearow,Normal,Flying,65,90,65,61,61,100,Speed,100,2,Brown,12,380,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",1
23,Ekans,Poison,None,35,60,44,40,54,55,Attack,60,1,Purple,20,69,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",1
24,Arbok,Poison,None,60,95,69,65,79,80,Attack,95,2,Purple,35,650,It is rumored that the ferocious warning markings on its belly differ from area to area.,1
25,Pikachu,Electric,None,35,55,40,50,50,90,Speed,90,2,Yellow,4,60,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",1
26,Raichu,Electric,None,60,90,55,90,80,110,Speed,110,3,Yellow,8,300,Its long tail serves as a ground to protect itself from its own high voltage power.,1
27,Sandshrew,Ground,None,50,75,85,20,30,40,Defense,85,1,Yellow,6,120,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,1
28,Sandslash,Ground,None,75,100,110,45,55,65,Defense,110,2,Yellow,10,295,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,1
29,Nidoran-F,Poison,None,55,47,52,40,40,41,Hp,55,1,Blue,4,70,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",1
30,Nidorina,Poison,None,70,62,67,55,55,56,Hp,70,2,Blue,8,200,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,1
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,Attack,92,3,Blue,13,600,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,1
32,Nidoran-M,Poison,None,46,57,40,40,40,50,Attack,57,1,Purple,5,90,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",1
33,Nidorino,Poison,None,61,72,57,55,55,65,Attack,72,2,Purple,9,195,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,1
34,Nidoking,Poison,Ground,81,102,77,85,75,85,Attack,102,3,Purple,14,620,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",1
35,Clefairy,Fairy,None,70,45,48,60,65,35,Hp,70,2,Pink,6,75,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,1
36,Clefable,Fairy,None,95,70,73,95,90,60,Hp,95,3,Pink,13,400,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,1
37,Vulpix,Fire,None,38,41,40,50,65,65,Special Defense,65,1,Brown,6,99,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",1
38,Ninetales,Fire,None,73,76,75,81,100,100,Special Defense,100,2,Yellow,11,199,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,1
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,Hp,115,2,Pink,5,55,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",1
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,Hp,140,3,Pink,10,120,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",1
41,Zubat,Poison,Flying,40,45,35,30,40,55,Speed,55,1,Purple,8,75,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,1
42,Golbat,Poison,Flying,75,80,70,65,75,90,Speed,90,2,Purple,16,550,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",1
43,Oddish,Grass,Poison,45,50,55,75,65,30,Special Attack,75,1,Blue,5,54,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",1
44,Gloom,Grass,Poison,60,65,70,85,75,40,Special Attack,85,2,Blue,8,86,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,1
45,Vileplume,Grass,Poison,75,80,85,110,90,50,Special Attack,110,3,Red,12,186,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",1
46,Paras,Bug,Grass,35,70,55,45,55,25,Attack,70,1,Red,3,54,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,1
47,Parasect,Bug,Grass,60,95,80,60,80,30,Attack,95,2,Red,10,295,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,1
48,Venonat,Bug,Poison,60,55,50,40,55,45,Hp,60,1,Purple,10,300,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,1
49,Venomoth,Bug,Poison,70,65,60,90,75,90,Special Attack,90,2,Purple,15,125,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,1
50,Diglett,Ground,None,10,55,25,35,45,95,Speed,95,1,Brown,2,8,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,1
51,Dugtrio,Ground,None,35,100,50,50,70,120,Speed,120,2,Brown,7,333,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,1
52,Meowth,Normal,None,40,45,35,40,40,90,Speed,90,1,Yellow,4,42,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,1
53,Persian,Normal,None,65,70,60,65,65,115,Speed,115,2,Yellow,10,320,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",1
54,Psyduck,Water,None,50,52,48,65,50,55,Special Attack,65,1,Yellow,8,196,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",1
55,Golduck,Water,None,80,82,78,95,80,85,Special Attack,95,2,Blue,17,766,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",1
56,Mankey,Fighting,None,40,80,35,35,45,70,Attack,80,1,Brown,5,280,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,1
57,Primeape,Fighting,None,65,105,60,60,70,95,Attack,105,2,Brown,10,320,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,1
58,Growlithe,Fire,None,55,70,45,70,50,60,Attack,70,1,Brown,7,190,Very protective of its territory. It will bark and bite to repel intruders from its space.,1
59,Arcanine,Fire,None,90,110,80,100,80,95,Attack,110,2,Brown,19,1550,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,1
60,Poliwag,Water,None,40,50,40,40,40,90,Speed,90,1,Blue,6,124,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,1
61,Poliwhirl,Water,None,65,65,65,50,50,90,Speed,90,2,Blue,10,200,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",1
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,Attack,95,3,Blue,13,540,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,1
63,Abra,Psychic,None,25,20,15,105,55,90,Special Attack,105,1,Brown,9,195,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",1
64,Kadabra,Psychic,None,40,35,30,120,70,105,Special Attack,120,2,Brown,13,565,It emits special alpha waves from its body that induce headaches just by being close by.,1
65,Alakazam,Psychic,None,55,50,45,135,95,120,Special Attack,135,3,Brown,15,480,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",1
66,Machop,Fighting,None,70,80,50,35,35,35,Attack,80,1,Gray,8,195,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,1
67,Machoke,Fighting,None,80,100,70,50,60,45,Attack,100,2,Gray,15,705,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",1
68,Machamp,Fighting,None,90,130,80,65,85,55,Attack,130,3,Gray,16,1300,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",1
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,Attack,75,1,Green,7,40,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,1
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,Attack,90,2,Green,10,64,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,1
71,Victreebel,Grass,Poison,80,105,65,100,70,70,Attack,105,3,Green,17,155,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",1
72,Tentacool,Water,Poison,40,40,35,50,100,70,Special Defense,100,1,Blue,9,455,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,1
73,Tentacruel,Water,Poison,80,70,65,80,120,100,Special Defense,120,2,Blue,16,550,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",1
74,Geodude,Rock,Ground,40,80,100,30,30,20,Defense,100,1,Brown,4,200,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",1
75,Graveler,Rock,Ground,55,95,115,45,45,35,Defense,115,2,Brown,10,1050,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,1
76,Golem,Rock,Ground,80,120,130,55,65,45,Defense,130,3,Brown,14,3000,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,1
77,Ponyta,Fire,None,50,85,55,65,65,90,Speed,90,1,Yellow,10,300,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,1
78,Rapidash,Fire,None,65,100,70,80,80,105,Speed,105,2,Yellow,17,950,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",1
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,Hp,90,1,Pink,12,360,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,1
80,Slowbro,Water,Psychic,95,75,110,100,80,30,Defense,110,2,Pink,16,785,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,1
81,Magnemite,Electric,Steel,25,35,70,95,55,45,Special Attack,95,1,Gray,3,60,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,1
82,Magneton,Electric,Steel,50,60,95,120,70,70,Special Attack,120,2,Gray,10,600,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,1
83,Farfetchd,Normal,Flying,52,90,55,58,62,60,Attack,90,1,Brown,8,150,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,1
84,Doduo,Normal,Flying,35,85,45,35,35,75,Attack,85,1,Brown,14,392,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,1
85,Dodrio,Normal,Flying,60,110,70,60,60,110,Attack,110,2,Brown,18,852,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",1
86,Seel,Water,None,65,45,55,45,70,45,Special Defense,70,1,White,11,900,The protruding horn on its head is very hard. It is used for bashing through thick ice.,1
87,Dewgong,Water,Ice,90,70,80,70,95,70,Special Defense,95,2,White,17,1200,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,1
88,Grimer,Poison,None,80,80,50,40,50,25,Hp,80,1,Purple,9,300,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,1
89,Muk,Poison,None,105,105,75,65,100,50,Hp,105,2,Purple,12,300,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",1
90,Shellder,Water,None,30,65,100,45,25,40,Defense,100,1,Purple,3,40,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,1
91,Cloyster,Water,Ice,50,95,180,85,45,70,Defense,180,2,Purple,15,1325,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",1
92,Gastly,Ghost,Poison,30,35,30,100,35,80,Special Attack,100,1,Purple,13,1,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",1
93,Haunter,Ghost,Poison,45,50,45,115,55,95,Special Attack,115,2,Purple,16,1,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",1
94,Gengar,Ghost,Poison,60,65,60,130,75,110,Special Attack,130,3,Purple,15,405,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",1
95,Onix,Rock,Ground,35,45,160,30,45,70,Defense,160,1,Gray,88,2100,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",1
96,Drowzee,Psychic,None,60,48,45,43,90,42,Special Defense,90,1,Yellow,10,324,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,1
97,Hypno,Psychic,None,85,73,70,73,115,67,Special Defense,115,2,Yellow,16,756,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",1
98,Krabby,Water,None,30,105,90,25,25,50,Attack,105,1,Red,4,65,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",1
99,Kingler,Water,None,55,130,115,50,50,75,Attack,130,2,Red,13,600,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",1
100,Voltorb,Electric,None,40,30,50,55,55,100,Speed,100,1,Red,5,104,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",1
101,Electrode,Electric,None,60,50,70,80,80,150,Speed,150,2,Red,12,666,It stores electric energy under very high pressure. It often explodes with little or no provocation.,1
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,Defense,80,1,Pink,4,25,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",1
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,Special Attack,125,2,Yellow,20,1200,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",1
104,Cubone,Ground,None,50,50,95,40,50,35,Defense,95,1,Brown,4,65,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",1
105,Marowak,Ground,None,60,80,110,50,80,45,Defense,110,2,Brown,10,450,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,1
106,Hitmonlee,Fighting,None,50,120,53,35,110,87,Attack,120,2,Brown,15,498,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",1
107,Hitmonchan,Fighting,None,50,105,79,35,110,76,Special Defense,110,2,Brown,14,502,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",1
108,Lickitung,Normal,None,90,55,75,60,75,30,Hp,90,1,Pink,12,655,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,1
109,Koffing,Poison,None,40,65,95,60,45,35,Defense,95,1,Purple,6,10,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",1
110,Weezing,Poison,None,65,90,120,85,70,60,Defense,120,2,Purple,12,95,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",1
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,Defense,95,1,Gray,10,1150,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.,1
112,Rhydon,Ground,Rock,105,130,120,45,45,40,Attack,130,2,Gray,19,1200,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",1
113,Chansey,Normal,None,250,5,5,35,105,50,Hp,250,2,Pink,11,346,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,1
114,Tangela,Grass,None,65,55,115,100,40,60,Defense,115,1,Blue,10,350,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,1
115,Kangaskhan,Normal,None,105,95,80,40,80,90,Hp,105,1,Brown,22,800,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,1
116,Horsea,Water,None,30,40,70,70,25,60,Defense,70,1,Blue,4,80,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,1
117,Seadra,Water,None,55,65,95,95,45,85,Defense,95,2,Blue,12,250,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,1
118,Goldeen,Water,None,45,67,60,35,50,63,Attack,67,1,Red,6,150,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.",1
119,Seaking,Water,None,80,92,65,65,80,68,Attack,92,2,Red,13,390,"In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks.",1
120,Staryu,Water,None,30,45,55,70,55,85,Speed,85,1,Brown,8,345,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.,1
121,Starmie,Water,Psychic,60,75,85,100,85,115,Speed,115,2,Purple,11,800,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,1
122,Mr-Mime,Psychic,Fairy,40,45,65,100,120,90,Special Defense,120,2,Pink,13,545,"If interrupted while it is miming, it will slap around the offender with its broad hands.",1
123,Scyther,Bug,Flying,70,110,80,55,80,105,Attack,110,1,Green,15,560,"With ninja-like agility and speed, it can create the illusion that there is more than one.",1
124,Jynx,Ice,Psychic,65,50,35,115,95,95,Special Attack,115,2,Red,14,406,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,1
125,Electabuzz,Electric,None,65,83,57,95,85,105,Speed,105,2,Yellow,11,300,"Normally found near power plants, they can wander away and cause major blackouts in cities.",1
126,Magmar,Fire,None,65,95,57,100,85,93,Special Attack,100,2,Red,13,445,Its body always burns with an orange glow that enables it to hide perfectly among flames.,1
127,Pinsir,Bug,None,65,125,100,55,70,85,Attack,125,1,Brown,15,550,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.",1
128,Tauros,Normal,None,75,100,95,40,70,110,Speed,110,1,Brown,14,884,"When it targets an enemy, it charges furiously while whipping its body with its long tails.",1
129,Magikarp,Water,None,20,10,55,15,20,80,Speed,80,1,Red,9,100,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",1
130,Gyarados,Water,Flying,95,125,79,60,100,81,Attack,125,2,Blue,65,2350,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",1
131,Lapras,Water,Ice,130,85,80,85,95,60,Hp,130,1,Blue,25,2200,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,1
132,Ditto,Normal,None,48,48,48,48,48,48,Hp,48,1,Purple,3,40,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.,1
133,Eevee,Normal,None,55,55,50,45,65,55,Special Defense,65,1,Brown,3,65,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,1
134,Vaporeon,Water,None,130,65,60,110,95,65,Hp,130,2,Blue,10,290,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.,1
135,Jolteon,Electric,None,65,65,60,110,95,130,Speed,130,2,Yellow,8,245,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.,1
136,Flareon,Fire,None,65,130,60,95,110,65,Attack,130,2,Red,9,250,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",1
137,Porygon,Normal,None,65,60,70,85,75,40,Special Attack,85,1,Pink,8,365,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,1
138,Omanyte,Rock,Water,35,40,100,90,55,35,Defense,100,1,Blue,4,75,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",1
139,Omastar,Rock,Water,70,60,125,115,70,55,Defense,125,2,Blue,10,350,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,1
140,Kabuto,Rock,Water,30,80,90,55,45,55,Defense,90,1,Brown,5,115,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,1
141,Kabutops,Rock,Water,60,115,105,65,70,80,Attack,115,2,Brown,13,405,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,1
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,Speed,130,1,Purple,18,590,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.",1
143,Snorlax,Normal,None,160,110,65,65,110,30,Hp,160,2,Black,21,4600,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",1
144,Articuno,Ice,Flying,90,85,100,95,125,85,Special Defense,125,1,Blue,17,554,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,1
145,Zapdos,Electric,Flying,90,90,85,125,90,100,Special Attack,125,1,Yellow,16,526,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,1
146,Moltres,Fire,Flying,90,100,90,125,85,90,Special Attack,125,1,Yellow,20,600,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,1
147,Dratini,Dragon,None,41,64,45,50,50,50,Attack,64,1,Blue,18,33,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,1
148,Dragonair,Dragon,None,61,84,65,70,70,70,Attack,84,2,Blue,40,165,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,1
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,Attack,134,3,Brown,22,2100,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,1
150,Mewtwo,Psychic,None,106,110,90,154,90,130,Special Attack,154,1,Purple,20,1220,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,1
151,Mew,Psychic,None,100,100,100,100,100,100,Hp,100,1,Pink,4,40,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,1
152,Chikorita,Grass,None,45,49,65,49,65,45,Defense,65,1,Green,9,64,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,2
153,Bayleef,Grass,None,60,62,80,63,80,60,Defense,80,2,Green,12,158,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight.",2
154,Meganium,Grass,None,80,82,100,83,100,80,Defense,100,3,Green,18,1005,The aroma that rises from its petals contains a substance that calms aggressive feelings.,2
155,Cyndaquil,Fire,None,39,52,43,60,50,65,Speed,65,1,Yellow,5,79,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection.",2
156,Quilava,Fire,None,58,64,58,80,65,80,Special Attack,80,2,Yellow,9,190,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,2
157,Typhlosion,Fire,None,78,84,78,109,85,100,Special Attack,109,3,Yellow,17,795,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",2
158,Totodile,Water,None,50,65,64,44,48,43,Attack,65,1,Blue,6,95,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,2
159,Croconaw,Water,None,65,80,80,59,63,58,Attack,80,2,Blue,11,250,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.",2
160,Feraligatr,Water,None,85,105,100,79,83,78,Attack,105,3,Blue,23,888,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.",2
161,Sentret,Normal,None,35,46,34,35,45,20,Attack,46,1,Brown,8,60,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.,2
162,Furret,Normal,None,85,76,64,45,55,90,Speed,90,2,Brown,18,325,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.,2
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,Hp,60,1,Brown,7,212,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",2
164,Noctowl,Normal,Flying,100,50,50,86,96,70,Hp,100,2,Brown,16,408,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,2
165,Ledyba,Bug,Flying,40,20,30,40,80,55,Special Defense,80,1,Red,10,108,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,2
166,Ledian,Bug,Flying,55,35,50,55,110,85,Special Defense,110,2,Red,14,356,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",2
167,Spinarak,Bug,Poison,40,60,40,40,40,30,Attack,60,1,Green,5,85,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",2
168,Ariados,Bug,Poison,70,90,70,60,70,40,Attack,90,2,Red,11,335,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,2
169,Crobat,Poison,Flying,85,90,80,70,80,130,Speed,130,3,Purple,18,750,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.,2
170,Chinchou,Water,Electric,75,38,38,56,56,67,Hp,75,1,Blue,5,120,It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.,2
171,Lanturn,Water,Electric,125,58,58,76,76,67,Hp,125,2,Blue,12,225,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,2
172,Pichu,Electric,None,20,40,15,35,35,60,Speed,60,1,Yellow,3,20,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,2
173,Cleffa,Fairy,None,50,25,28,45,55,15,Special Defense,55,1,Pink,3,30,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",2
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,Hp,90,1,Pink,3,10,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",2
175,Togepi,Fairy,None,35,20,65,40,65,20,Defense,65,1,White,3,15,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,2
